название,адрес,рейтинг,число отзывов,ссылка,кол-во по сети,цены,количество_услуг,положительных_слов,отрицательных_слов,пример_отзыва
Частный пансионат для пожилых SM-pension,"Новгородская ул., 49, Балашиха",5.0,76,https://yandex.ru/maps/org/chastny_pansionat_dlya_pozhilykh_sm_pension/29086015804/,1,Размещение в многоместном номере: 1300; Размещение в трехместном номере: 1500; Размещение в двухместном номере: 1800; Размещение в одноместном номере: 2000,4,3,2,"Всем доброго времени суток. Столкнулись мы с проблемой поиска частного пансионата для бабушки лежачей. Позвонили в справочную и там рекомендовали два пансионата, получилось,что выбрали пансионат в бал"
Золотая пора,"Центральная ул., 2, д. Лугинино",5.0,98,https://yandex.ru/maps/org/zolotaya_pora/223094233564/,2,,0,1,1,"Отличный пансионат: светлые комнаты, ухоженная территория, всегда есть врач. Подкупает индивидуальный подход и то, как здесь относятся к каждому постояльцу. Бабушка говорит, что чувствует себя как в с"
Пансионат для пожилых людей Барвиха,"д. Барвиха, 14-1",4.6,31,https://yandex.ru/maps/org/pansionat_dlya_pozhilykh_lyudey_barvikha/1297106927/,1,Трехместное размещение: 1800; Двухместное размещение: 2500,2,3,1,"Я посмотрела очень много пансионатов, прежде чем остановиться на этом. Первое, что определяет мое отношение к общему состоянию дел - это отсутствие всяческих запахов внутри и уютная домашняя атмосфера"
Долголетие,"д. Малое Видное, ТЛПХ Подлипки, 89",4.2,12,https://yandex.ru/maps/org/dolgoletiye/31054595694/,1,Пансионат для пожилых: 1800; Пансионат Видное для пожилых людей: 2100; Пансионат для пожилых | Дом престарелых: 1800; Пансионаты для пожилых в Видном: 1800; Дом престарелых: 1800; Дом престарелых | Дом престарелых: 1800; Дом престарелых | Дом престарелых в Москве: 1800; Пансионат для больных Альцгеймером: 1800; Пансионат для больных деменцией: 2100; Пансионат для пожилых Видное: 1800; Пансионат для престарелых: 1800; Пансионат для престарелых | Пансионат для пожилых: 1800; Уход за больными пожилыми: 2100; Уход за пожилым инвалидом: 2100; Уход за пожилым человеком: 2100; Уход за пожилыми: 2100; Уход за пожилыми 80 лет | Уход за пожилыми: 2100,17,8,0,"Отличный пансионат для пожилых людей. Устроили туда свою пожилую бабушку. После нескольких месяцев нахождения в нем отзывается очень хорошо. Прекрасный персонал, отдельное спасибо управляющей Таисии и"
Пансионат для пожилых людей ДеЛор Домодедово,"Дачная ул., 33, д. Котляково",4.7,23,https://yandex.ru/maps/org/pansionat_dlya_pozhilykh_lyudey_delor_domodedovo/65025772900/,1,,0,6,0,"К сожалению, многие сталкиваются с тем, что родители с возрастом становятся немощными, а сил и навыков ухаживать правильно просто не хватает. У меня сначала слег папа, потом мама, ухаживать за двумя т"
Забота,"д. Редькино, территория Урочище Редькин Луг, 2В",4.3,25,https://yandex.ru/maps/org/zabota/85257213765/,2,Пансионат для пожилых с деменцией: 2900; Пансионат для пожилых после инфаркта: 2900; Пансионат для пожилых после инсульта: 2900; Пансионат для пожилых с медицинским уходом: 2900; Пансионат для пожилых с Альцгеймера: 2900; Пансионат для лежачих больных: 3200; Пансионат для пожилых с реабилитацией: 2900; Пансионат для слабовидящих: 3200; Пансионат для больных Паркинсоном: 2900; Пансионат для инвалидов-колясочников: 2900; Дом престарелых: 2900; Пансионат для пожилых людей в Подмосковье: 2900; Пансионат для пожилых людей: 2900; Пансионат после перелома шейки бедра: 3200; Уход за пожилыми людьми: 2900,15,6,0,"Большое спасибо персоналу пансионата Забота Раменское, папа прожил в пансионате 2 года, а это немалый срок. Управляющая пансионатом Римма относится к своим подопечным тепло, ласково, с настоящей забот"
Теплые беседы,"д. Лучинское, 33",4.5,22,https://yandex.ru/maps/org/teplyye_besedy/14086949662/,5,Пансионат для пожилых в подольске: 2050; Пансионат для пожилых в подольске: 2050; Пансионат для пожилых в подольске: 1900; Пансионат для пожилых в подольске: 1800; Пансионат для пожилых в Подольске: 2000; Дом престарелых в подольске: 1850; Дом престарелых в подольске: 1800; Дом престарелых в подольске: 2000; Дом престарелых подольск: 1950; Дом престарелых подольск: 2400; Дом престарелых Подольск: 2100; Пансионат для пожилых подольск: 1850; Пансионат для пожилых подольск: 2300; Пансионат для пожилых Подольск: 2200; Дом престарелых: 2100; Дом престарелых: 2300; Пансионат для пожилых людей в подмосковье: 2200; Пансионат для пожилых людей в Подмосковье: 2150; Пансионат для пожилых подольск: 2000; Пансионат для пожилых подольск: 1900; Дом престарелых: 2400; Дом престарелых: 2500; Дом престарелых: 2200; Дом престарелых: 2150; Дом престарелых в москве: 2100; Дом престарелых в москве: 2150; Дом престарелых в Москве: 2100; Дом престарелых в москве: 2100; Дом престарелых в москве: 2300; Дом престарелых в подмосковье: 2100; Дом престарелых в подмосковье: 2250; Дом престарелых в подмосковье: 2000; Дом престарелых в подольске: 2200; Дом престарелых в Подольске: 2300; Дом престарелых в Подольске: 2100; Дом престарелых в Подольске: 2200; Дом престарелых в подольске: 2100; Дом престарелых в Подольске: 2200; Дом престарелых в Подольске: 2000; Дом престарелых Подольск: 2000; Дом престарелых подольск: 1800; Дом престарелых подольск: 1700; Дом престарелых подольск: 2200; Дом престарелых Подольск: 2100; Дом престарелых Подольск: 2100; Дом престарелых подольск: 1950; Пансионат для пожилых в Подольске: 2100; Пансионат для пожилых в подольске: 2000; Пансионат для пожилых в Подольске: 2200; Пансионат для пожилых в Подольске: 2200; Пансионат для пожилых людей: 2400; Пансионат для пожилых людей: 2200; Пансионат для пожилых людей: 2400; Пансионат для пожилых людей: 2300; Пансионат для пожилых людей: 2200; Пансионат для пожилых людей в Подмосковье: 2300; Пансионат для пожилых людей в подмосковье: 2400; Пансионат для пожилых людей в подмосковье: 1950; Пансионат для пожилых людей подольск: 2000; Пансионат для пожилых людей Подольск: 2400; Пансионат для пожилых людей подольск: 1800; Пансионат для пожилых людей Подольск: 2200; Пансионат для пожилых людей Подольск: 2300; Пансионат для пожилых людей подольск: 1950; Пансионат для пожилых людей Подольск: 2200; Пансионат для пожилых людей Подольск: 2200; Пансионат для пожилых людей подольск: 1900; Пансионат для пожилых людей Подольск: 2100; Пансионат для пожилых подольск: 1800; Пансионат для пожилых Подольск: 2000; Пансионат для пожилых Подольск: 2200; Пансионат для пожилых подольск: 2100; Пансионат для пожилых Подольск: 2000; Пансионат для пожилых Подольск: 2000; Уход за пожилыми с деменцией и болезнью Альцгеймера: 1500; Уход за лежачими пожилыми: 1500; Уход за самостоятельными пожилыми людьми: 1300; Частный пансионат для пожилых: 2200; Частный пансионат для пожилых: 2400; Частный пансионат для пожилых: 2250; Частный пансионат для пожилых: 1900,81,0,0,"Моя 94 летняя мама , после перенесенной операции на шейке бедра находилась в пансионате в деревне Лучинское. Хочу сказать коротко и ясно: здесь работают замечательные люди. Огромная благодарность упра"
Ника,"ул. Светлая Поляна, 94",5.0,79,https://yandex.ru/maps/org/nika/104079900684/,2,4-х местный номер: 1600; 3-х местный номер: 1800; 2-х местный номер: 2000; 1 местный номер: 2200,4,9,0,Устроила маму 87 лет в пансионат Улиткино и хочу поделится впечатлениями. Сначала переживала чтобы все было комфортно и спокойно. Но когда приехала на просмотр сразу успокоилась. Чисто уютно все аккур
Столетник,"село Никулино, 70",5.0,98,https://yandex.ru/maps/org/stoletnik/181692039538/,1,"Пребывание самостоятельного постояльца: 1400; Инвалиды. Уход. Помощь в передвижении: 1500; Лежачие, требующие ухода постояльцы: 1600; Тяжёлые, лежачие постояльцы: 1700",4,3,0,"Хочу выразить огромную благодарность пансионату Столетник, всем работникам: нянечкам, поварам, всему облуживающему персоналу. Особенно Веронике Владимировне! 
Моя мама находится здесь полтора года. Он"
Теплые беседы,"Советская ул., 2/14, п. г. т. Ильинский, Ворота открываются автоматически",4.4,59,https://yandex.ru/maps/org/teplyye_besedy/213143942518/,5,Проживание и отдых для самостоятельных пожилых людей: 1350; Пансионат для пожилых людей в подмосковье: 1350; Пансионат Раменское для пожилых: 1350; Пансионат для пожилых с медицинским уходом: 1350; Пансионат для пожилых одноместное размещение: 1350; Пансионат для пожилых лежачих больных: 1550; Пансионат для лежачих пожилых людей: 1550; Пансионат для пожилых людей лежачих больных: 1550; Пансионат для пожилых лежачих больных в подмосковье: 1550; Пансионат для пожилых людей с реабилитацией: 1350; Пансионат для пожилых людей с реабилитационным уклоном: 1350; Пансионат для пожилых с реабилитацией: 1350; Пансионат для пожилых с реабилитацией после травмы: 1350; Дом престарелых люберцы: 1850; Дом престарелых люберцы: 2100; Дом престарелых Люберцы: 2400; Пансионат для пожилых люберцы: 1950; Пансионат для пожилых люберцы: 2150; Пансионат для пожилых Люберцы: 2300; Пансионат люберцы для пожилых: 2050; Пансионат люберцы для пожилых: 2000; Пансионат Люберцы для пожилых: 2200; Пансионат люберцы для пожилых: 2300; Пансионат люберцы для пожилых: 2100; Пансионат люберцы для пожилых: 2250; Пансионат для пожилых людей Люберцы: 1350; Пансионат для пожилых Люберцы: 1350; Пансионат для пожилых в Люберцах: 1350; Пансионат для пожилых после инсульта: 1350; Пансионат для пожилых людей после инсульта: 1350; Пансионат для пожилых с инсультом: 1350; Дом престарелых: 2100; Дом престарелых: 2300; Пансионат для пожилых люберцы: 2250; Пансионат для пожилых люберцы: 2150; Пансионат для пожилых людей в подмосковье: 2200; Пансионат для пожилых людей в Подмосковье: 2150; Уход за пожилыми с деменцией и болезнью Альцгеймера: 1550; Пансионат для пожилых людей с деменцией: 1550; Пансионат для пожилых с деменцией: 1550; Пансионат для пожилых с деменцией в подмосковье: 1550; Пансионат для лежачих пожилых людей с деменцией: 1550; Пансионаты для пожилых лежачих с деменцией: 1550; Пансионаты для пожилых лежачих больных после инсульта: 1350; Пансионат для лежачих пожилых после инсульта: 1350; Пансионаты для пожилых с переломом шейки бедра: 1350; Пансионаты для пожилых после перелома шейки бедра: 1550; Пансионат для пожилых людей с Альцгеймера: 1550; Частный пансионат для пожилых с Альцгеймером: 1550; Пансионат для пожилых с болезнью Паркинсона: 1350; Пансионат для пожилых людей с Паркинсона: 1550; Пансионат для пожилых с деменцией Раменское: 1550; Пансионат для пожилых со старческой деменцией: 1550; Пансионат для пожилых с альцгеймера: 1550; Пансионаты для пожилых людей с болезнью Альцгеймера: 1550; Пансионат для слабовидящих пожилых людей: 1350; Пансионаты для слабовидящих пожилых: 1350; Пансионат для пожилых людей с инсультом: 1350; Дом престарелых: 2400; Дом престарелых: 2500; Дом престарелых: 2200; Дом престарелых: 2150; Дом престарелых в москве: 2100; Дом престарелых в москве: 2150; Дом престарелых в Москве: 2100; Дом престарелых в москве: 2100; Дом престарелых в москве: 2300; Дом престарелых в подмосковье: 2100; Дом престарелых в подмосковье: 2250; Дом престарелых в подмосковье: 2000; Дом престарелых ильинский: 2200; Дом престарелых Ильинский: 2000; Дом престарелых ильинский: 2050; Дом престарелых Ильинский: 2150; Дом престарелых Ильинский: 2300; Дом престарелых ильинский: 2250; Дом престарелых Ильинский: 2300; Дом престарелых ильинский: 1850; Дом престарелых Ильинский: 2250; Дом престарелых ильинский: 2300; Дом престарелых Люберцы: 2350; Дом престарелых Люберцы: 2050; Дом престарелых люберцы: 2050; Дом престарелых люберцы: 2050; Дом престарелых люберцы: 2300; Дом престарелых Люберцы: 2100; Дом престарелых Люберцы: 2050; Дом престарелых люберцы: 2150; Дом престарелых Люберцы: 2200; Пансионат для пожилых Люберцы: 2050; Пансионат для пожилых люберцы: 2400; Пансионат для пожилых Люберцы: 2200; Пансионат для пожилых Люберцы: 2150; Пансионат для пожилых людей: 2400; Пансионат для пожилых людей: 2200; Пансионат для пожилых людей: 2400; Пансионат для пожилых людей: 2300; Пансионат для пожилых людей: 2200; Пансионат для пожилых людей в Подмосковье: 2300; Пансионат для пожилых людей в подмосковье: 2400; Пансионат для пожилых людей в подмосковье: 1950; Пансионат для пожилых людей люберцы: 2200; Пансионат для пожилых людей Люберцы: 2100; Пансионат для пожилых людей Люберцы: 2250; Пансионат для пожилых людей Люберцы: 2400; Пансионат для пожилых людей люберцы: 2100; Пансионат для пожилых людей Люберцы: 2300; Пансионат для пожилых людей люберцы: 2200; Пансионат для пожилых людей Люберцы: 2100; Пансионат для пожилых людей люберцы: 1950; Пансионат Люберцы для пожилых: 2150; Пансионат люберцы для пожилых: 2150; Пансионат Люберцы для пожилых: 2300; Пансионат Люберцы для пожилых: 1900; Проживание и уход для лежачих больных: 1550; Пансионаты для малоподвижных пожилых людей: 1550; Пансионат для больных пожилых людей: 1350; Пансионат для пожилых инвалидов: 1350; Пансионат для пожилых Быково: 1350; Пансионаты для пожилых в ВАО: 1350; Пансионат для пожилых людей в Московской области: 1350; Пансионаты для лежачих пожилых в Подмосковье: 1550; Пансионат для пожилых людей Раменский район: 1350; Пансионат для пожилых после инсульта Подмосковье: 1350; Пансионат для пожилых после инфаркта: 1350; Пансионат для пожилых в Раменском районе: 1350; Пансионат для пожилых с депрессией: 1350; Пансионат для пожилых людей с болезнью паркинсона: 1550; Пансионат для пожилых с Паркинсоном: 1350; Пансионат для слепых пожилых людей: 1350; Пансионат для пожилых с болезнью Альцгеймера: 1550; Частный пансионат для пожилых: 2200; Частный пансионат для пожилых: 2400; Частный пансионат для пожилых: 2250; Частный пансионат для пожилых: 1900,135,4,0,"Само собой, это не санаторий, не курорт и не дом отдыха. Но, когда ситуация дома становится беспросветной и ""сознание"" покидает пожилого человека все чаще (речь о деменции), это выход. Прожила в Ильин"
Виктория,"Московская область, Раменский городской округ, посёлок Денежниково",4.4,11,https://yandex.ru/maps/org/viktoriya/223880173703/,2,,0,7,0,"Большое спасибо за работу пансионату. Ухаживали 2,5 года за бабушкой с деменцией. Большая и просторная территория, вокруг природа, легко добраться на общественном транспорте.
В самом пансионате также "
Пансионат Круг Семьи,"Дорожная ул., 13, д. Старосъяново",4.7,18,https://yandex.ru/maps/org/pansionat_krug_semyi/140881516996/,2,,0,9,1,"Огромное спасибо руководству и персоналу пансионата ""Круг семьи"" за доброе отношение к постояльцам пансионата! Мне требовалась помощь с пожилым родственником и нам повезло попасть в этот пансионат. То"
Свято-Спиридоньевская богадельня,"наб. Шитова, 4, корп. 1",4.4,18,https://yandex.ru/maps/org/svyato_spiridonyevskaya_bogadelnya/141443599294/,1,,0,0,0,"Свято-Спиридоньевская богадельня - это место, где старикам и тяжелобольным людям обеспечивается профессиональный уход и достойная жизнь. Покормить, вовремя дать лекарство, обеспечить гигиенической ухо"
Виктория,"Полевая ул., 2",4.7,18,https://yandex.ru/maps/org/viktoriya/59206356406/,2,,0,5,1,"Огромное спасибо, персоналу Виктория за качество работы. Моя мама обрела второй дом , вторую семью . Домашний уют , домашняя еда . Долго искали пансионат и выбор пал на Викторию . Отсутствие ужасного "
Четыре сезона,"ул. Ноздрюхина, 22, село Ромашково",4.4,44,https://yandex.ru/maps/org/chetyre_sezona/1745018397/,1,,0,9,0,"С марта 2025 года в этом пансионате проживает моя подопечная с деменцией.
Очень признательна персоналу, особенно непосредственно ухаживающей Свете, Ирине Васильевне, управляющему за внимание и отзывчи"
Старшее поколение,"д. Писково, 14А",4.6,31,https://yandex.ru/maps/org/starsheye_pokoleniye/66294539510/,1,Комната 2 - местная: 75000; Комната 4 - местная: 55000; Комната 5 - местная: 50000; Все остальные: 45000,4,3,1,"Мы с супругой хотели бы выразить сердечную благодарность и самые теплее слова Людмиле Викторовне и всему коллективу пансионата «Старшее поколение» за многолетнюю заботу и помощь, поддержку и любовь, к"
SM-pension пансионат для пожилых Лобня,"ул. Победы, 3В, Лобня",4.9,45,https://yandex.ru/maps/org/sm_pension_pansionat_dlya_pozhilykh_lobnya/193005762098/,1,Пансионат для пожилых: 2500,1,3,0,"Выражаю Искреннюю благодарность всему персоналу пансионата""Лобня"".
Администратору:Анне
Мед. сестре :…"
Старость и в радость,"Московская область, Ленинский городской округ, Видное, район Расторгуево",4.1,7,https://yandex.ru/maps/org/starost_i_v_radost/13651639806/,1,,0,0,0,
Дом престарелых Эдем,"Северная ул., 2, п. г. т. Удельная",4.8,20,https://yandex.ru/maps/org/dom_prestarelykh_edem/165245210258/,1,"Размещение для самостоятельных: 1150; Размещение лежачих: 1300; Уход за лежачими в Раменском: 1250; Дом престарелых в Москве: 1250; Размещение в пансионате для престарелых Эдем для нуждающихся в помощи при передвижении, уходе и гигиене.: 1300; Уход за пожилыми людьми: 1200; Частный дом престарелых в Москве: 900; Пансионат для пожилых в Раменском: 1000; Дом престарелых: 1200",9,5,1,"Я хочу поделиться. пребывания моего дедушки в пансионате для пожилых людей «Эдем». С самого первого дня мы были приятно удивлены атмосферой заботы и тепла, которая царит в этом заведении.
Персонал пан"
Дом престарелых в Троицке,"Москва, Троицк, жилой комплекс Академик",0.0,0,https://yandex.ru/maps/org/dom_prestarelykh_v_troitske/222466727821/,1,,0,0,0,
Пансионат Пирогово. Life,"Фабричный пр., 14, д. Пирогово",4.9,34,https://yandex.ru/maps/org/pansionat_pirogovo_life/215944106220/,1,Уход за пожилыми людьми: 800; Уход за лежачими больными и инвалидами на коляске: 800; Уход за пожилыми людьми с диабетом: 800; Уход за пожилыми людьми с проблемами со зрением: 800; Уход за пожилыми людьми с Альцгеймером (деменцией): 800; Уход за пожилыми людьми с психическими заболеваниями: 800,6,6,0,"Прекрасное место, очень добрый отзывчивый персонал. Прекрасный уход за пожилыми людьми. Вкусная еда. На все праздники приглашают артистов, чтобы пенсионерам было весело. Очень уютная и теплая атмосфер"
Пансионат для пожилых МСК,"Коммунистическая ул., 129, п. г. т. Ильинский",4.4,9,https://yandex.ru/maps/org/pansionat_dlya_pozhilykh_msk/200848774317/,1,Пансионат для пожилых: 2000,1,1,0,"Мой дедушка сам попросил подобрать ему место, где есть компания и врачи рядом, потому что дома ему было скучно. В пансионате он нашел себе круг общения, они играют в домино, обсуждают новости, и он пе"
Золотая Осень,"д. Орловка, МЖСК Искра, 16",4.7,59,https://yandex.ru/maps/org/zolotaya_osen/107326089893/,1,,0,3,0,"Отдыхали в феврале 2025 , тишина, свежий воздух, есть бассейн, бесплатный завтрак, очень вкусный, за отдельную плату можно заказать обед или ужин, мы брали ужин, огромные порции, всё очень вкусно , ед"
Добрые Сердца,"Московская область, Раменский городской округ, посёлок Денежниково",0.0,0,https://yandex.ru/maps/org/dobryye_serdtsa/175330443108/,1,,0,0,0,
Доверие,"Рогожская ул., 7, Электроугли",4.7,29,https://yandex.ru/maps/org/doveriye/1187981988/,1,Мини-квартира со всеми удобствами: 4000; 4-7 местные номера: 1700; 1-2 местные номера: 2000,3,1,0,"Очень повезло, что есть такое хорошее место в относительной близости к городу. Отдельная благодарность Сиену и всему коллективу пансионата за достойное отношение к людям, проявленную заботу и высочайш"
Ника,"Центральная ул., 35, д. Улиткино",4.3,40,https://yandex.ru/maps/org/nika/177034003724/,2,4-х местный номер: 1600; 3-х местный номер: 1800; 2-х местный номер: 2000; 1 местный номер: 2200; 5-ти местный номер: 1100,5,5,0,"Бред какой то написан если честно по последнему отзыву с 1 звездой. Отец у меня человек крайне дотошный. Привык, что всё должно быть чётко, по правилам. Если где-то что-то не так – сразу жалобы, сразу"
Времена года,"Московская область, Богородский городской округ, село Балобаново, Полевая улица",4.5,23,https://yandex.ru/maps/org/vremena_goda/119433771312/,1,,0,4,1,"Пансионат Времена года стал настоящим открытием для нашей семьи. Уютная атмосфера, дружелюбный персонал и комфортные условия проживания. Приятно удивила разнообразная программа досуга: занятия рукодел"
"Добрые сердца, пансионат","д. Толмачёво, 21",0.0,0,https://yandex.ru/maps/org/dobryye_serdtsa_pansionat/97870050583/,1,,0,0,0,
SM-pension,"село Заворово, 1Ф",4.7,34,https://yandex.ru/maps/org/sm_pension/164268351912/,3,Размещение в многоместном номере: 1500; Размещение в трехместном номере: 1500; Размещение в двухместном номере: 1800; Размещение в одноместном номере: 2000,4,3,0,"Моя бабушка проживает здесь уже несколько месяцев. Персонал вежливый, питание нормальное, а главное бабушка довольна! В пансионате всегда чисто, уютно, а для прогулок есть красивая территория."
Забота,"Голицыно, квартал Южный, 11",4.7,50,https://yandex.ru/maps/org/zabota/1545928107/,2,Пансионат для больных Альцгеймера: 2450; Пансионат для больных деменцией: 2450; Пансионат для больных сахарным диабетом: 2450; Пансионат для инвалидов по зрению: 2750; Пансионат для инвалидов: 2450; Пансионат для пожилых после инсульта: 2450; Пансионат для лежачих больных: 2750; Пансионат для больных Паркинсоном2: 2450; Уход за больными после перелома шейки бедра: 2750; Пансионат для пожилых после инфаркта: 2450; Дом престарелых: 2450; Пансионат для пожилых людей в Подмосковье: 2450; Пансионат для пожилых людей: 2450; Пансионат для инвалидов-колясочников: 2450; Уход за пожилыми людьми: 2450,15,5,1,"Хочу выразить благодарность всему коллективу пансионата Забота Голицино. Так получилось, что моя мама уже 10 лет больна деменцией, и мне приходится дважды в год, на период отпуска, на срок две-три нед"
Осень жизни,"Зелёная ул., 6, п. г. т. Лесной Городок",0.0,0,https://yandex.ru/maps/org/osen_zhizni/225775165685/,2,,0,0,0,
Любушка,"Боровая ул., 1А, Дедовск",4.3,5,https://yandex.ru/maps/org/lyubushka/185561332961/,1,,0,19,0,"Атмосфера в пансионате спокойная и уютная,как то по домашнему.От персонала ощущается искренняя забота о постояльцах.Чистота,светлые комнаты.Уважение и внимание ко всем.В общем моя бабушка довольна оче"
Лосиный Остров,"Озёрная ул., 80, д. Супонево",4.8,49,https://yandex.ru/maps/org/losiny_ostrov/244738735332/,1,,0,7,0,"Я выражаю глубокую благодарность руководству и сотрудникам пансионата Лосиный остров. Как в хорошем отеле красиво, чисто, уютно. Цветы в горшках, аквариумы, птички в клетках. Все это создает приятную "
Тепло Сердец,"Кооперативная ул., 18, рабочий посёлок Монино",4.4,25,https://yandex.ru/maps/org/teplo_serdets/182173679229/,1,,0,6,0,"Прекрасный пансионат для разного уровня состояния здоровья очень пожилого человека. Мы познакомились с ""Теплом сердец"" в августе 2020 года. Было странное время - пандемия, изоляция. Очень вменяемое ру"
SM-pension,"Тихвинская ул., 10, село Петрово-Дальнее",4.5,31,https://yandex.ru/maps/org/sm_pension/178617160349/,3,Размещение в многоместном номере: 1300; Размещение в трехместном номере: 1500; Размещение в двухместном номере: 1800; Размещение в одноместном номере: 2000,4,1,1,"Хочу поблагодарить всех сотрудников пансионата за заботу и уход за моей престарелой мамой , Анной Ивановной Ж. Пока моя мама находилась в пансионате ,мы были спокойны и уверены , что мама находится в "
Академия Долголетия,"Флотская ул., 76, корп. 2",0.0,0,https://yandex.ru/maps/org/akademiya_dolgoletiya/85411871067/,3,Осмотр врача-психиатра: 3500; Осмотр врача-гериатра: 3000; Клубный дом для людей пожилого возраста: 4500; Соляная комната: 500,4,0,0,
ГБУ Комплекс социальных жилых домов Департамента труда и социальной защиты населения города Москвы,"Пятницкое ш., 31, корп. 2, подъезд 1",0.0,0,https://yandex.ru/maps/org/gbu_kompleks_sotsialnykh_zhilykh_domov_departamenta_truda_i_sotsialnoy_zashchity_naseleniya_goroda_moskvy/1020808426/,1,,0,2,1,"Мама у меня лежачая, определила её сюда пока временно, но, увидев уход за ней, продлила договор. Очень отзывчивый, дружелюбный персонал. Сиделки чудесные, очень внимательные и понимающие любую проблем"
Добрый Дом,"Менделеевская ул., 14, микрорайон Клязьма, Пушкино",0.0,0,https://yandex.ru/maps/org/dobry_dom/1080377013/,1,"Проживание в доме для престарелых по программе ""Свой дом"": 1500; Проживание в доме для престарелых по программе ""Care"": 2100",2,0,0,
GreenDay,"Чистопрудная ул., 151, д. Новинки",0.0,0,https://yandex.ru/maps/org/greenday/242094801364/,2,,0,0,0,
Пансион24,"Пролетарская ул., 65, село Юдино",3.2,10,https://yandex.ru/maps/org/pansion24/187535130686/,1,Размещение в 6-ти местном номере: 1100; Размещение в 3-х местном номере: 1300; Размещение в 2-х местном номере: 1500; Размещение в 1-местом номере: 1600; Уход за лежачими пожилыми: 1250; Уход за пожилыми с деменцией: 1200,6,1,1,"Выражаю благодарность администратору пансионата Светлане Погребной и сиделке Ирине за чуткое, внимательное отношение к постояльцам! Муж - тяжело больной лежачий человек. Получает профессиональный уход"
Центр домашней заботы,"ул. Мира, 16/9, Мытищи",0.0,0,https://yandex.ru/maps/org/tsentr_domashney_zaboty/83396146441/,1,,0,0,0,"Узнавал про размещение родственницы. В офисе подробно рассказали какие есть пансионаты, где находятся и какие условия проживания. Показали фото и видео, чтобы можно было понять атмосферу. Отличная кон"
Частный дом престарелых,"Первомайская ул., 34, Лыткарино",0.0,0,https://yandex.ru/maps/org/chastny_dom_prestarelykh/1076822808/,1,,0,0,0,"Сомнительное учреждение. Позиционирует себя как центр социального обслуживания, но по факту же просто отвратительное отношение к пожилым больным людям со стороны руководительницы и её сотрудниц. Одну "
Стационарное отделение Дом-интернат малой вместимости для граждан пожилого возраста и инвалидов,"Школьная ул., 29, Ивантеевка",0.0,0,https://yandex.ru/maps/org/statsionarnoye_otdeleniye_dom_internat_maloy_vmestimosti_dlya_grazhdan_pozhilogo_vozrasta_i_invalidov/178197407311/,1,,0,0,0,
Патриаршее подворье,"ул. Верхняя Слобода, 96, село Остров",0.0,0,https://yandex.ru/maps/org/patriarsheye_podvorye/201298059837/,1,,0,0,0,
МедСервис Плюс,"Ленинский просп., 42, корп. 2",0.0,0,https://yandex.ru/maps/org/medservis_plyus/185498244426/,1,,0,0,0,
Пансионат Круг Семьи,"Дмитровское ш., 49, д. Красная Горка",0.0,0,https://yandex.ru/maps/org/pansionat_krug_semyi/6909449688/,2,,0,0,0,
Река жизни,"Ильинское ш., 1А, Красногорск",0.0,0,https://yandex.ru/maps/org/reka_zhizni/70662222323/,1,,0,0,0,
Все пансионаты,"ул. Барклая, 6, стр. 25",0.0,0,https://yandex.ru/maps/org/vse_pansionaty/101896669449/,1,,0,1,0,"Подобрали пансионат за 20 минут, спасибо большое девочкам. Ещё и подсказали где скидки есть"
Светлица. Благополучие,"Надсоновская ул., 24, Пушкино",0.0,0,https://yandex.ru/maps/org/svetlitsa_blagopoluchiye/3053675675/,1,Реабилитация пожилых после переломов: 1500; Реабилитация пожилых после травм: 1500; Пансионат для больных сахарным диабетом: 990; Пансионат для онкологических больных: 990; Пансионат для слабовидящих: 990; Пансионат для пожилых с заболеваниями опорно-двигательного аппарата: 990; Пансионат для пожилых с переломом шейки бедра: 990; Пансионат для пожилых после инфаркта: 990; Пансионат для пожилых после инсульта: 990; Пансионат для пожилых с болезнями сердца: 990; Пансионат для лежачих больных: 990; Пансионат для пожилых с альцгеймером: 990; Пансионат для пожилых с паркинсоном: 990; Пансионат для пожилых с деменцией: 990; Уход за пожилыми в послеоперационный период: 1500; Восстановление пожилых после КОВИД-19 COVID-19: 1500; Восстановление пожилых после инфаркта: 1500; Восстановление пожилых после инсульта: 1500; Восстановление после операции в доме престарелых: 1500; Реабилитация пожилых после перелома шейки бедра: 1500; 1-местная палата: 990; 2-местная палата: 990; 3-местная палата: 990; Пансионат для инвалидов: 990; Пансионат с паллиативной помощью: 990; Пансионат для инвалидов-колясочников: 990; Перевозка лежачих больных в дом престарелых: 1500,27,0,0,
Большая семья,"Московская область, Пушкино, микрорайон Клязьма, квартал Спасский",0.0,0,https://yandex.ru/maps/org/bolshaya_semya/143389787658/,1,,0,0,0,
Пансионат Большая семья Пушкино 2,"Речная ул., 7А, Пушкино",0.0,0,https://yandex.ru/maps/org/pansionat_bolshaya_semya_pushkino_2/245662480015/,1,,0,0,0,
Альфа-Омега Групп,"ул. А.И. Нестеренко, 11, микрорайон Юбилейный, Королёв",0.0,0,https://yandex.ru/maps/org/alfa_omega_grupp/235724100930/,1,,0,0,0,
